[-16.1331233978271, -10.7739992141724, 1.97745800018311]::(250.0, 80.0, 143.0, 190.0)::(92.0, 10.0)->(1, 0)
[-16.4974670410156, -11.2414131164551, 2.18879437446594]::(250.0, 80.0, 143.0, 190.0)::(92.0, 10.0)->(1, 0)
[-17.8599758148193, -10.5767402648926, 2.13208365440369]::(250.0, 80.0, 143.0, 190.0)::(96.0, 10.0)->(1, 0)
[-17.6560745239258, -10.5396041870117, 2.31206607818604]::(250.0, 80.0, 143.0, 190.0)::(96.0, 10.0)->(1, 0)
[-17.1651840209961, -10.8715362548828, 2.3089382648468]::(250.0, 80.0, 143.0, 190.0)::(96.0, 10.0)->(1, 0)
[-17.7552356719971, -10.42138671875, 2.39055299758911]::(250.0, 80.0, 143.0, 190.0)::(96.0, 10.0)->(1, 0)
[-17.2034015655518, -10.3185348510742, 2.25965523719788]::(250.0, 80.0, 143.0, 190.0)::(96.0, 10.0)->(1, 0)
[-17.5581245422363, -10.4877882003784, 2.24490785598755]::(250.0, 80.0, 143.0, 190.0)::(96.0, 10.0)->(1, 0)
[-17.0802116394043, -10.7603340148926, 2.09032797813416]::(250.0, 80.0, 143.0, 190.0)::(96.0, 10.0)->(1, 0)
[-16.7825965881348, -10.6546897888184, 2.25892567634583]::(250.0, 80.0, 143.0, 190.0)::(96.0, 10.0)->(1, 0)
[-17.3120365142822, -11.1137742996216, 2.34233236312866]::(250.0, 80.0, 143.0, 190.0)::(96.0, 10.0)->(1, 0)
[-16.8650341033936, -11.1005592346191, 2.16390085220337]::(250.0, 80.0, 143.0, 190.0)::(96.0, 10.0)->(1, 0)
[-16.7141590118408, -11.0722465515137, 2.24184226989746]::(250.0, 80.0, 143.0, 190.0)::(92.0, 10.0)->(1, 0)
[-17.5405349731445, -10.6795806884766, 2.21382164955139]::(250.0, 80.0, 143.0, 190.0)::(92.0, 10.0)->(1, 0)
[-16.6396312713623, -11.1340217590332, 2.01222133636475]::(250.0, 80.0, 143.0, 190.0)::(96.0, 10.0)->(1, 0)
[-18.1193370819092, -10.934476852417, 2.35751247406006]::(250.0, 80.0, 143.0, 190.0)::(96.0, 10.0)->(1, 0)
[-17.564697265625, -10.2000570297241, 2.33786129951477]::(250.0, 80.0, 143.0, 190.0)::(96.0, 10.0)->(1, 0)
[-17.6356735229492, -11.0518751144409, 2.1865382194519]::(250.0, 80.0, 143.0, 190.0)::(96.0, 10.0)->(1, 0)
[-17.4346542358398, -10.6656579971313, 2.18205189704895]::(250.0, 80.0, 143.0, 190.0)::(96.0, 10.0)->(1, 0)
